,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
170,Nepal,82,+7, ,,16,66,,3,,"64,492","2,213",Asia
171,Mozambique,81,+1, ,,19,62,,3,,"2,867",92,Africa
172,Sint Maarten,76,,14 ,+1,44,18,7,"1,773",327,329,"7,673",North America
173,Cayman Islands,75,,1 ,,14,60,3,"1,141",15,"2,528","38,465",North America
174,Libya,63,,3 ,,23,37,,9,0.4,"2,338",340,Africa
175,French Polynesia,60,+2, ,,54,6,1,214,,"2,697","9,601",Australia/Oceania
176,South Sudan,52,+6, ,,,52,,5,,"1,247",111,Africa
177,Macao,45,, ,,39,6,1,69,,,,Asia
178,Syria,44,,3 ,,27,14,,3,0.2,,,Asia
179,Malawi,41,,3 ,,9,29,1,2,0.2,907,47,Africa
180,Mongolia,41,+1, ,,13,28,,13,,"8,889","2,711",Asia
181,Eritrea,39,, ,,30,9,,11,,,,Africa
182,Saint Martin,38,,3 ,,29,6,1,983,78,,,North America
183,Angola,36,+1,2 ,,11,23,,1,0.06,"3,000",91,Africa
184,Zimbabwe,34,,4 ,,5,25,,2,0.3,"7,642",514,Africa
185,Antigua and Barbuda,25,,3 ,,16,6,1,255,31,153,"1,562",North America
186,Timor-Leste,24,, ,,20,4,,18,,664,504,Asia
187,Botswana,23,,1 ,,8,14,,10,0.4,"8,636","3,672",Africa
188,Yemen,22,+10,4 ,+2,1,17,,0.7,0.1,120,4,Asia
189,Grenada,21,, ,,13,8,4,187,,"1,406","12,495",North America
190,Laos,19,, ,,9,10,,3,,"2,418",332,Asia
191,Belize,18,,2 ,,16,0,,45,5,"1,043","2,623",North America
192,Fiji,18,, ,,14,4,,20,,"1,007","1,123",Australia/Oceania
193,New Caledonia,18,, ,,17,1,1,63,,"5,052","17,695",Australia/Oceania
194,Saint Lucia,18,, ,,15,3,,98,,446,"2,429",North America
195,Gambia,17,,1 ,,9,7,,7,0.4,401,166,Africa
196,St. Vincent Grenadines,17,, ,,9,8,,153,,137,"1,235",North America
197,Nicaragua,16,+1,5 ,,7,4,,2,0.8,,,North America
198,Curaçao,16,,1 ,,13,2,,98,6,351,"2,139",North America
199,Dominica,16,, ,,14,2,,222,,416,"5,779",North America
200,Namibia,16,, ,,8,8,,6,,"1,122",442,Africa
201,Burundi,15,,1 ,,7,7,,1,0.08,284,24,Africa
202,Saint Kitts and Nevis,15,, ,,12,3,,282,,318,"5,978",North America
203,Falkland Islands,13,, ,,13,0,,"3,736",,388,"111,494",South America
204,Turks and Caicos,12,,1 ,,6,5,,310,26,107,"2,764",North America
205,Montserrat,11,,1 ,,7,3,1,"2,204",200,36,"7,212",North America
206,Greenland,11,, ,,11,0,,194,,"1,332","23,463",North America
207,Vatican City,11,, ,,2,9,,"13,733",,,,Europe
208,Seychelles,11,, ,,8,3,,112,,,,Africa
209,Suriname,10,,1 ,,9,0,,17,2,404,689,South America
210,MS Zaandam,9,,2 ,,,7,,,,,,
211,Mauritania,8,,1 ,,6,1,,2,0.2,"1,032",222,Africa
212,Papua New Guinea,8,, ,,8,0,,0.9,,"2,402",268,Australia/Oceania
213,Bhutan,7,, ,,5,2,,9,,"11,015","14,275",Asia
214,British Virgin Islands,6,,1 ,,3,2,,198,33,,,North America
215,Caribbean Netherlands,6,, ,,,6,,229,,110,"4,195",North America
216,St. Barth,6,, ,,6,0,,607,,,,North America
217,Western Sahara,6,, ,,5,1,,10,,,,Africa
218,Anguilla,3,, ,,3,0,,200,,,,North America
219,Comoros,3,, ,,,3,,3,,,,Africa
220,Saint Pierre Miquelon,1,, ,,,1,,173,,,,North America
221,China,"82,881",+1,"4,633 ",,"77,853",395,29,58,3,,,Asia
222,Total:,"1,346,379","+27,342","79,376","+2,602","247,749","1,019,254","17,420",,,,,North America
223,Total:,"1,493,972","+24,061","144,103","+1,960","568,522","781,347","16,507",,,,,Europe
224,Total:,"587,017","+14,178","20,430",+352,"315,845","250,742","5,281",,,,,Asia
225,Total:,"236,692","+12,418","11,979",+711,"82,346","142,367","9,950",,,,,South America
226,Total:,"50,166","+2,091","1,917",+69,"16,977","31,272",128,,,,,Africa
227,Total:,"8,439",+25,116,+1,"7,284","1,039",29,,,,,Australia/Oceania
228,Total:,721,,15,,645,61,4,,,,,
229,Total:,"3,723,386","+80,115","257,936","+5,695","1,239,368","2,226,082","49,319",477.7,33.1,,,All
